tablo,conname,contype,tanim
conversations,conversations_budget_range_check,c,"CHECK (((budget_range IS NULL) OR (budget_range = ANY (ARRAY['under_5k'::text, '5k_15k'::text, '15k_30k'::text, '30k_50k'::text, 'over_50k'::text, 'open'::text]))))"
conversations,conversations_customer_id_fkey,f,FOREIGN KEY (customer_id) REFERENCES profiles(id) ON DELETE CASCADE
conversations,conversations_different_users,c,CHECK ((customer_id <> professional_id))
conversations,conversations_event_type_check,c,"CHECK (((event_type IS NULL) OR (event_type = ANY (ARRAY['wedding'::text, 'engagement'::text, 'henna'::text, 'birthday'::text, 'baby_shower'::text, 'graduation'::text, 'circumcision'::text, 'corporate'::text, 'launch'::text, 'fair'::text, 'conference'::text, 'congress'::text, 'gala'::text, 'concert'::text, 'other'::text]))))"
conversations,conversations_guest_count_check,c,CHECK (((guest_count IS NULL) OR ((guest_count >= 0) AND (guest_count <= 100000))))
conversations,conversations_pkey,p,PRIMARY KEY (id)
conversations,conversations_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
conversations,conversations_request_type_check,c,"CHECK ((request_type = ANY (ARRAY['quote'::text, 'booking_request'::text])))"
conversations,conversations_unique_pair,u,"UNIQUE (customer_id, professional_id)"
favorites,favorites_pkey,p,PRIMARY KEY (id)
favorites,favorites_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
favorites,favorites_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
favorites,favorites_user_id_professional_id_key,u,"UNIQUE (user_id, professional_id)"
listing_invitations,listing_invitations_invitation_message_check,c,CHECK (((invitation_message IS NULL) OR (char_length(invitation_message) <= 1000)))
listing_invitations,listing_invitations_inviter_id_fkey,f,FOREIGN KEY (inviter_id) REFERENCES profiles(id) ON DELETE CASCADE
listing_invitations,listing_invitations_listing_id_fkey,f,FOREIGN KEY (listing_id) REFERENCES listings(id) ON DELETE CASCADE
listing_invitations,listing_invitations_pkey,p,PRIMARY KEY (id)
listing_invitations,listing_invitations_professional_id_fkey,f,FOREIGN KEY (professional_id) REFERENCES profiles(id) ON DELETE CASCADE
listing_invitations,listing_invitations_resulting_application_id_fkey,f,FOREIGN KEY (resulting_application_id) REFERENCES applications(id) ON DELETE SET NULL
listing_invitations,no_duplicate_pending_listing_invite,x,"EXCLUDE USING btree (listing_id WITH =, professional_id WITH =) WHERE ((status = 'pending'::listing_invitation_status))"
listings,allowed_roles_valid,c,"CHECK (((allowed_applicant_roles IS NULL) OR ((allowed_applicant_roles <@ ARRAY['professional'::text, 'agency'::text]) AND (array_length(allowed_applicant_roles, 1) >= 1))))"
listings,listings_budget_max_check,c,CHECK (((budget_max IS NULL) OR (budget_max >= (0)::numeric)))
listings,listings_budget_min_check,c,CHECK (((budget_min IS NULL) OR (budget_min >= (0)::numeric)))
listings,listings_category_id_fkey,f,FOREIGN KEY (category_id) REFERENCES service_categories(id) ON DELETE RESTRICT
listings,listings_city_id_fkey,f,FOREIGN KEY (city_id) REFERENCES turkish_cities(id) ON DELETE SET NULL
listings,listings_created_by_fkey,f,FOREIGN KEY (created_by) REFERENCES profiles(id)
listings,listings_creator_id_fkey,f,FOREIGN KEY (creator_id) REFERENCES profiles(id) ON DELETE CASCADE
listings,listings_currency_check,c,CHECK ((currency = 'TRY'::text))
listings,listings_description_check,c,CHECK (((char_length(description) >= 10) AND (char_length(description) <= 5000)))
listings,listings_event_type_check,c,"CHECK (((event_type IS NULL) OR (event_type = ANY (ARRAY['wedding'::text, 'engagement'::text, 'henna'::text, 'birthday'::text, 'baby_shower'::text, 'graduation'::text, 'circumcision'::text, 'corporate'::text, 'launch'::text, 'fair'::text, 'conference'::text, 'congress'::text, 'gala'::text, 'concert'::text, 'other'::text]))))"
listings,listings_guest_count_check,c,CHECK (((guest_count IS NULL) OR ((guest_count >= 0) AND (guest_count <= 100000))))
listings,listings_location_check,c,CHECK (((location IS NULL) OR (char_length(location) <= 200)))
listings,listings_pkey,p,PRIMARY KEY (id)
listings,listings_project_details_len,c,CHECK (((project_details IS NULL) OR (char_length(project_details) <= 3000)))
listings,listings_requirements_check,c,CHECK (((requirements IS NULL) OR (char_length(requirements) <= 2000)))
