tablename,policyname,cmd,roller,qual,with_check
admin_audit_log,Admins insert audit log,INSERT,{public},null,"((admin_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true)))))"
admin_audit_log,Admins read audit log,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))",null
agency_invitations,Agencies create invitations,INSERT,{public},null,"((agency_id = auth.uid()) AND (invited_by_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'agency'::text)))))"
agency_invitations,Agency sees own invitations,SELECT,{public},(agency_id = auth.uid()),null
agency_invitations,Invited user sees their invitations,SELECT,{public},"((invited_user_id = auth.uid()) OR (invited_email = ( SELECT profiles.email
   FROM profiles
  WHERE (profiles.id = auth.uid()))))",null
agency_invitations,Status updates by authorized parties,UPDATE,{public},"((agency_id = auth.uid()) OR (invited_user_id = auth.uid()) OR (invited_email = ( SELECT profiles.email
   FROM profiles
  WHERE (profiles.id = auth.uid()))))",null
agency_members,Agencies add members,INSERT,{public},null,((agency_id = auth.uid()) OR (professional_id = auth.uid()))
agency_members,Agency members are public,SELECT,{public},true,null
agency_members,Agency or member can remove,DELETE,{public},((agency_id = auth.uid()) OR (professional_id = auth.uid())),null
agency_members,Agency or member updates,UPDATE,{public},((agency_id = auth.uid()) OR (professional_id = auth.uid())),null
agency_members,agency_members_admin_read,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.is_admin = true))))",null
applications,Authorized parties update applications,UPDATE,{public},"((applicant_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = applications.listing_id) AND ((l.creator_id = auth.uid()) OR has_business_role(l.creator_id, 'manager'::business_member_role))))))",null
applications,Business managers see team applications,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = applications.listing_id) AND has_business_role(l.creator_id, 'manager'::business_member_role))))",null
applications,Listing owners see applications to their listings,SELECT,{public},"(EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = applications.listing_id) AND (l.creator_id = auth.uid()))))",null
applications,Professionals see their own applications,SELECT,{public},(applicant_id = auth.uid()),null
