tablename,policyname,cmd,roller,qual,with_check
applications,Pros and agencies apply to published listings,INSERT,{public},null,"((applicant_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['professional'::text, 'agency'::text]))))) AND (EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = applications.listing_id) AND (l.status = 'published'::listing_status)))))"
availability_blocks,availability_blocks_admin_read,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.is_admin = true))))",null
availability_blocks,availability_delete_own,DELETE,{public},(auth.uid() = profile_id),null
availability_blocks,availability_insert_own,INSERT,{public},null,(auth.uid() = profile_id)
availability_blocks,availability_read_own,SELECT,{public},(auth.uid() = profile_id),null
availability_blocks,availability_read_published,SELECT,{public},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = availability_blocks.profile_id) AND (profiles.is_published = true))))",null
blog_posts,blog_admin_delete,DELETE,{public},is_admin(auth.uid()),null
blog_posts,blog_admin_insert,INSERT,{public},null,is_admin(auth.uid())
blog_posts,blog_admin_read,SELECT,{public},is_admin(auth.uid()),null
blog_posts,blog_admin_update,UPDATE,{public},is_admin(auth.uid()),is_admin(auth.uid())
blog_posts,blog_public_read,SELECT,{public},(status = 'published'::text),null
bookings,Assigned pros read team bookings,SELECT,{public},"(EXISTS ( SELECT 1
   FROM agency_members am
  WHERE ((am.agency_id = bookings.professional_id) AND (am.professional_id = auth.uid()))))",null
bookings,Bookings visible to participants,SELECT,{public},((customer_id = auth.uid()) OR (professional_id = auth.uid())),null
bookings,Business members read team bookings,SELECT,{authenticated},is_business_member(customer_id),null
bookings,Customers read own bookings,SELECT,{public},(auth.uid() = customer_id),null
bookings,Parties update own bookings,UPDATE,{public},((auth.uid() = customer_id) OR (auth.uid() = professional_id)),null
bookings,Professionals read own bookings,SELECT,{public},(auth.uid() = professional_id),null
business_invitations,Business invitation status updates by authorized parties,UPDATE,{public},"((business_id = auth.uid()) OR (invited_user_id = auth.uid()) OR (invited_email = ( SELECT profiles.email
   FROM profiles
  WHERE (profiles.id = auth.uid()))))",null
business_invitations,Business sees own invitations,SELECT,{public},(business_id = auth.uid()),null
business_invitations,Businesses create invitations,INSERT,{public},null,"((business_id = auth.uid()) AND (invited_by_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = 'business'::text)))))"
business_invitations,Invited user sees their business invitations,SELECT,{public},"((invited_user_id = auth.uid()) OR (invited_email = ( SELECT profiles.email
   FROM profiles
  WHERE (profiles.id = auth.uid()))))",null
business_members,Business adds members,INSERT,{public},null,((business_id = auth.uid()) OR (member_user_id = auth.uid()))
business_members,Business or member can remove,DELETE,{public},((business_id = auth.uid()) OR (member_user_id = auth.uid())),null
business_members,Business or member updates,UPDATE,{public},((business_id = auth.uid()) OR (member_user_id = auth.uid())),null
business_members,Business team visible to owner and members,SELECT,{public},((business_id = auth.uid()) OR is_business_member(business_id)),null
category_requests,Admins can update category requests,UPDATE,{authenticated},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))","(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))"
category_requests,Admins can view all category requests,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.is_admin = true))))",null
category_requests,Users can insert own category requests,INSERT,{public},null,(auth.uid() = user_id)
category_requests,Users can read own category requests,SELECT,{public},(auth.uid() = user_id),null
conversation_assignees,conv_assignees_delete,DELETE,{public},"(EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = conversation_assignees.conversation_id) AND (c.professional_id = auth.uid()))))",null
conversation_assignees,conv_assignees_insert,INSERT,{public},null,"(EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = conversation_assignees.conversation_id) AND (c.professional_id = auth.uid()))))"
conversation_assignees,conv_assignees_select,SELECT,{public},"((professional_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = conversation_assignees.conversation_id) AND (c.professional_id = auth.uid())))))",null
conversations,Business members read team conversations,SELECT,{authenticated},is_business_member(customer_id),null
conversations,Professionals create conversations as professional,INSERT,{authenticated},null,((auth.uid() = professional_id) AND is_professional_or_agency(auth.uid()))
conversations,conversations_insert_customer,INSERT,{public},null,"((auth.uid() = customer_id) OR has_business_role(customer_id, 'manager'::business_member_role))"
conversations,conversations_select_participant,SELECT,{public},"((auth.uid() = customer_id) OR (auth.uid() = professional_id) OR is_assignee(id, auth.uid()))",null
conversations,conversations_update_owner,UPDATE,{public},((auth.uid() = customer_id) OR (auth.uid() = professional_id)),((auth.uid() = customer_id) OR (auth.uid() = professional_id))
favorites,Users can add favorites,INSERT,{public},null,(auth.uid() = user_id)
favorites,Users can remove own favorites,DELETE,{public},(auth.uid() = user_id),null
favorites,Users can view own favorites,SELECT,{public},(auth.uid() = user_id),null
listing_invitations,Business members see team listing invitations,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = listing_invitations.listing_id) AND ((l.creator_id = auth.uid()) OR is_business_member(l.creator_id)))))",null
listing_invitations,Inviter and invited see invitations,SELECT,{public},((inviter_id = auth.uid()) OR (professional_id = auth.uid())),null
listing_invitations,Inviter creates invitations to own published listing,INSERT,{public},null,"((inviter_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = listing_invitations.listing_id) AND (l.status = 'published'::listing_status) AND ((l.creator_id = auth.uid()) OR has_business_role(l.creator_id, 'manager'::business_member_role))))) AND (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = listing_invitations.professional_id) AND (p.role = ANY (ARRAY['professional'::text, 'agency'::text]))))))"
listing_invitations,Inviter or invited update invitation,UPDATE,{public},"((inviter_id = auth.uid()) OR (professional_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = listing_invitations.listing_id) AND ((l.creator_id = auth.uid()) OR has_business_role(l.creator_id, 'manager'::business_member_role))))))","((inviter_id = auth.uid()) OR (professional_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM listings l
  WHERE ((l.id = listing_invitations.listing_id) AND ((l.creator_id = auth.uid()) OR has_business_role(l.creator_id, 'manager'::business_member_role))))))"
listings,Admins can read all listings,SELECT,{authenticated},is_admin(auth.uid()),null
listings,Admins can update any listing,UPDATE,{authenticated},is_admin(auth.uid()),is_admin(auth.uid())
listings,Business members read team listings,SELECT,{authenticated},is_business_member(creator_id),null
listings,Customers and businesses create listings,INSERT,{public},null,"(((creator_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM profiles p
  WHERE ((p.id = auth.uid()) AND (p.role = ANY (ARRAY['client'::text, 'business'::text])))))) OR has_business_role(creator_id, 'manager'::business_member_role))"
listings,Published listings are public,SELECT,{public},(status = 'published'::listing_status),null
listings,Users delete their own draft listings,DELETE,{public},"(((creator_id = auth.uid()) OR has_business_role(creator_id, 'owner'::business_member_role)) AND (status = ANY (ARRAY['draft'::listing_status, 'cancelled'::listing_status])))",null
listings,Users see their own listings,SELECT,{public},(creator_id = auth.uid()),null
listings,Users update their own listings,UPDATE,{public},"((creator_id = auth.uid()) OR has_business_role(creator_id, 'manager'::business_member_role))",null
message_violations,Users can insert own violations,INSERT,{public},null,(auth.uid() = user_id)
messages,Business members read team messages,SELECT,{authenticated},"(EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = messages.conversation_id) AND is_business_member(c.customer_id))))",null
messages,messages_insert_participant,INSERT,{public},null,"((sender_id = auth.uid()) AND (EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = messages.conversation_id) AND ((c.customer_id = auth.uid()) OR (c.professional_id = auth.uid()) OR has_business_role(c.customer_id, 'manager'::business_member_role))))))"
messages,messages_select_participant,SELECT,{public},"(EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = messages.conversation_id) AND ((c.customer_id = auth.uid()) OR (c.professional_id = auth.uid()) OR is_assignee(c.id, auth.uid())))))",null
messages,messages_update_recipient,UPDATE,{public},"((sender_id <> auth.uid()) AND (EXISTS ( SELECT 1
   FROM conversations c
  WHERE ((c.id = messages.conversation_id) AND ((c.customer_id = auth.uid()) OR (c.professional_id = auth.uid()) OR has_business_role(c.customer_id, 'manager'::business_member_role))))))",null
notifications,Users delete own notifications,DELETE,{public},(auth.uid() = user_id),null
notifications,Users update own notifications,UPDATE,{public},(auth.uid() = user_id),null
notifications,Users view own notifications,SELECT,{public},(auth.uid() = user_id),null
